,iou,point_game,prediction_confidence,pixelprecisionrecall_precision,pixelprecisionrecall_recall,prediction_correct_int
iou,1.0,0.48250663628031676,0.30010724439961195,0.7812549829509846,0.7959942796473586,0.20651458951642115
point_game,0.48250663628031676,1.0,0.14516053873859025,0.5657928127913798,0.25136675884789433,0.1246736517472569
prediction_confidence,0.30010724439961195,0.14516053873859025,1.0,0.1671076222394953,0.32414781471082305,0.59244287389781
pixelprecisionrecall_precision,0.7812549829509846,0.5657928127913798,0.1671076222394953,1.0,0.4869874249338074,0.13255634630176882
pixelprecisionrecall_recall,0.7959942796473586,0.25136675884789433,0.32414781471082305,0.4869874249338074,1.0,0.20588050246648598
prediction_correct_int,0.20651458951642115,0.1246736517472569,0.59244287389781,0.13255634630176882,0.20588050246648598,1.0
