,iou,point_game,prediction_confidence,pixelprecisionrecall_precision,pixelprecisionrecall_recall,prediction_correct_int
iou,1.0,0.3209093666928415,0.08192632495079089,0.8574735318378883,0.8227239287118174,0.12739155738711308
point_game,0.3209093666928415,1.0,0.15534818209133533,0.3871115808967481,0.14574090908641646,0.16727839164917863
prediction_confidence,0.08192632495079089,0.15534818209133533,1.0,0.08328500052181896,0.06262742140227942,0.6243344849654167
pixelprecisionrecall_precision,0.8574735318378883,0.3871115808967481,0.08328500052181896,1.0,0.6221380704141996,0.13429171070367063
pixelprecisionrecall_recall,0.8227239287118174,0.14574090908641646,0.06262742140227942,0.6221380704141996,1.0,0.09528913840074452
prediction_correct_int,0.12739155738711308,0.16727839164917863,0.6243344849654167,0.13429171070367063,0.09528913840074452,1.0
