,iou,point_game,prediction_confidence,pixelprecisionrecall_precision,pixelprecisionrecall_recall,prediction_correct_int
iou,1.0,0.462236000119272,0.34283462537372905,0.7567902595620515,0.8044620652117007,0.22489205598042014
point_game,0.462236000119272,1.0,0.15011866391118356,0.560679162679012,0.2381582064790202,0.1250903267791215
prediction_confidence,0.34283462537372905,0.15011866391118356,1.0,0.20786479003519326,0.3623131188512845,0.5903551459305205
pixelprecisionrecall_precision,0.7567902595620515,0.560679162679012,0.20786479003519326,1.0,0.4720644419966525,0.14850839265717605
pixelprecisionrecall_recall,0.8044620652117007,0.2381582064790202,0.3623131188512845,0.4720644419966525,1.0,0.2236715910417189
prediction_correct_int,0.22489205598042014,0.1250903267791215,0.5903551459305205,0.14850839265717605,0.2236715910417189,1.0
