model_name,explainer_name,f1_score,precision,recall,true_positives,true_negatives,false_positives,false_negatives,total_samples,threshold_used
resnet50,grad_cam,0.6762978250515955,0.7958154305996638,0.587991718426501,4260,1262,1093,2985,9600,0.5
resnet50,integrated_gradients,0.6521132540008207,0.804251012145749,0.5483781918564528,3973,1388,967,3272,9600,0.5
resnet50,guided_backprop,0.6790328973444313,0.7975791433891992,0.5911663216011042,4283,1268,1087,2962,9600,0.5
