,iou,point_game,prediction_confidence,pixelprecisionrecall_precision,pixelprecisionrecall_recall,prediction_correct_int
iou,1.0,0.21682652318685272,0.1724171687952882,0.32949818990320745,0.8641309442202767,0.11828585010322099
point_game,0.21682652318685272,1.0,0.12641281721098013,0.5813721648177127,0.08629224081857441,0.11131204491688908
prediction_confidence,0.1724171687952882,0.12641281721098013,1.0,0.1825497820738515,0.17857878104620892,0.5864848399373586
pixelprecisionrecall_precision,0.32949818990320745,0.5813721648177127,0.1825497820738515,1.0,0.17161545170622977,0.14659912580686998
pixelprecisionrecall_recall,0.8641309442202767,0.08629224081857441,0.17857878104620892,0.17161545170622977,1.0,0.1143624849252066
prediction_correct_int,0.11828585010322099,0.11131204491688908,0.5864848399373586,0.14659912580686998,0.1143624849252066,1.0
