model_name,explainer_name,prediction_correctness,count,mean_iou,std_iou,median_iou,min_iou,max_iou,q25_iou,q75_iou
resnet18,grad_cam,correct,6955,0.3014753785925831,0.19926467014588586,0.3065064683258637,0.0,0.8958692783923679,0.1372088271352676,0.4513274336283185
resnet18,grad_cam,incorrect,2645,0.16398057448222353,0.1796423661632948,0.10656797213415525,0.0,0.8145986317705391,0.0,0.2928080773755598
resnet34,grad_cam,correct,6955,0.3014753785925831,0.19926467014588586,0.3065064683258637,0.0,0.8958692783923679,0.1372088271352676,0.4513274336283185
resnet34,grad_cam,incorrect,2645,0.16398057448222353,0.1796423661632948,0.10656797213415525,0.0,0.8145986317705391,0.0,0.2928080773755598
resnet50,grad_cam,correct,7245,0.2759130746768965,0.18934138998603034,0.272800051134244,0.0,0.8606894209543217,0.11858116456348505,0.41472847945331176
resnet50,grad_cam,incorrect,2355,0.1486948988971449,0.16660503130694754,0.094581209383229,0.0,0.8384246402423631,0.0,0.2549624528922073
vgg16,grad_cam,correct,6828,0.00018774859235031442,0.0035615375532260167,0.0,0.0,0.1242458976833976,0.0,0.0
vgg16,grad_cam,incorrect,2772,6.94900239225e-07,3.6241562487452125e-05,0.0,0.0,0.001890128650692,0.0,0.0
