model_name,explainer_name,f1_score,precision,recall,true_positives,true_negatives,false_positives,false_negatives,total_samples,threshold_used
resnet50,grad_cam,0.6762978250515955,0.7958154305996638,0.587991718426501,4260,1262,1093,2985,9600,0.5
resnet50,guided_backprop,0.6840607210626186,0.8006662965019433,0.5971014492753624,4326,1278,1077,2919,9600,0.5
resnet50,integrated_gradients,0.6426262123849789,0.8044831880448319,0.5349896480331263,3876,1413,942,3369,9600,0.5
