bin,prediction_correct_int
"(-0.001, 0.000118]",0.6813708260105448
"(0.000118, 0.00207]",0.7925821761293724
"(0.00207, 0.172]",0.7746924428822496
"(0.172, 0.861]",0.8493848857644991
